MP_ID,MP_Name,State,Constituency,Total_Projects,Unique_Vendors,Total_Project_Funds,Top_Vendor_ID,Top_Vendor_Name,Top_Vendor_Project_Count,Top_Vendor_Funds,Top_Vendor_Project_Share,Top_Vendor_Fund_Share,Vendor_HHI_Raw,Vendor_HHI_Normalized,Vendor_CR1,Vendor_CR3,Top_Syndicate_ID,Top_Syndicate_Vendor_Count,Top_Syndicate_Funds,Top_Syndicate_Share,Syndicate_HHI_Raw,Syndicate_CR1,Syndicate_CR3,Vendor_HHI_Raw_Percentile,Vendor_CR1_Percentile,Vendor_CR3_Percentile,Syndicate_HHI_Raw_Percentile,Syndicate_CR1_Percentile,Syndicate_CR3_Percentile,High_Vendor_HHI_Flag,High_Vendor_CR1_Flag,High_Vendor_CR3_Flag,High_Syndicate_HHI_Flag,High_Syndicate_CR1_Flag,High_Syndicate_CR3_Flag,Allocation_Risk_Score,Evidence_Reasons
MP0036,MP Representative 0036,Gujarat,RAJKOT-1,1045,1035,5520670000,V025191,Contractor Company 025191,2,19230000,0.0019,0.0035,0.00123,0.000264,0.0035,0.0087,SYNDICATE_085,2,11440000,0.0021,0.001231,0.0035,0.0087,6.0,82.5,56.0,3.5,79.5,47.0,False,False,False,False,False,False,51.18,"['Shell syndicate SYNDICATE_085 received INR 11,440,000 (0.21%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0018,MP Representative 0018,Rajasthan,JODHPUR-3,1023,1012,5442060000,V014780,Contractor Company 014780,2,16500000,0.002,0.003,0.001265,0.000277,0.003,0.0087,SYNDICATE_050,3,19520000,0.0036,0.001275,0.0036,0.0096,27.0,29.5,56.0,33.0,86.5,84.0,False,False,False,False,False,False,50.18,"['Shell syndicate SYNDICATE_050 received INR 19,520,000 (0.36%) across 3 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0054,MP Representative 0054,Karnataka,BELAGAVI-3,1025,1008,5357400000,V044012,Contractor Company 044012,2,16390000,0.002,0.0031,0.001277,0.000285,0.0031,0.0084,SYNDICATE_008,2,17980000,0.0034,0.001288,0.0034,0.0095,39.0,37.5,44.0,41.0,70.0,79.5,False,False,False,False,False,False,49.82,"['Shell syndicate SYNDICATE_008 received INR 17,980,000 (0.34%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0089,MP Representative 0089,Madhya Pradesh,UJJAIN-5,999,989,5197100000,V011610,Contractor Company 011610,2,16540000,0.002,0.0032,0.001309,0.000298,0.0032,0.0085,SYNDICATE_010,1,9280000,0.0018,0.001309,0.0032,0.0085,60.0,49.5,48.5,58.0,42.0,37.5,False,False,False,False,False,False,49.6,"['Shell syndicate SYNDICATE_010 received INR 9,280,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0009,MP Representative 0009,Madhya Pradesh,INDORE-2,1029,1019,5594180000,V031701,Contractor Company 031701,2,18260000,0.0019,0.0033,0.001246,0.000265,0.0033,0.0089,SYNDICATE_079,2,18060000,0.0032,0.001256,0.0033,0.0096,13.5,63.0,64.0,17.5,57.0,84.0,False,False,False,False,False,False,49.6,"['Shell syndicate SYNDICATE_079 received INR 18,060,000 (0.32%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0062,MP Representative 0062,Bihar,GAYA-5,997,985,5139170000,V018535,Contractor Company 018535,2,16380000,0.002,0.0032,0.001306,0.000291,0.0032,0.0082,SYNDICATE_022,2,15790000,0.0031,0.001311,0.0032,0.009,58.0,49.5,34.0,60.0,42.0,59.5,False,False,False,False,False,False,49.42,"['Shell syndicate SYNDICATE_022 received INR 15,790,000 (0.31%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0092,MP Representative 0092,Tamil Nadu,MADURAI-3,1009,997,5142210000,V048929,Contractor Company 048929,2,15630000,0.002,0.003,0.00129,0.000287,0.003,0.0087,SYNDICATE_061,2,16720000,0.0033,0.001301,0.0033,0.0093,46.0,29.5,56.0,52.5,57.0,70.5,False,False,False,False,False,False,48.68,"['Shell syndicate SYNDICATE_061 received INR 16,720,000 (0.33%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0011,MP Representative 0011,Rajasthan,KOTA-5,977,969,5205810000,V013888,Contractor Company 013888,2,15590000,0.002,0.003,0.001313,0.000281,0.003,0.0083,SYNDICATE_068,2,16490000,0.0032,0.001318,0.0032,0.0089,65.0,29.5,38.5,68.5,42.0,55.0,False,False,False,False,False,False,46.9,"['Shell syndicate SYNDICATE_068 received INR 16,490,000 (0.32%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0035,MP Representative 0035,Rajasthan,JAIPUR-3,968,958,5057030000,V003237,Contractor Company 003237,2,15060000,0.0021,0.003,0.001334,0.00029,0.003,0.0084,SYNDICATE_005,1,9900000,0.002,0.001334,0.003,0.0084,82.0,29.5,44.0,79.5,24.5,34.0,False,False,False,False,False,False,46.62,"['Shell syndicate SYNDICATE_005 received INR 9,900,000 (0.20%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0028,MP Representative 0028,West Bengal,SILIGURI-5,1039,1025,5389810000,V006421,Contractor Company 006421,2,17440000,0.0019,0.0032,0.001259,0.000284,0.0032,0.0092,SYNDICATE_007,1,11360000,0.0021,0.001259,0.0032,0.0092,21.5,49.5,75.0,19.5,42.0,68.0,False,False,False,False,False,False,45.08,"['Shell syndicate SYNDICATE_007 received INR 11,360,000 (0.21%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0080,MP Representative 0080,Uttar Pradesh,PRAYAGRAJ-5,1024,1019,5430250000,V030584,Contractor Company 030584,2,18200000,0.002,0.0034,0.001256,0.000274,0.0034,0.0073,SYNDICATE_067,2,15190000,0.0028,0.001265,0.0034,0.0086,19.0,74.0,9.5,22.5,70.0,41.5,False,False,False,False,False,False,44.12,"['Shell syndicate SYNDICATE_067 received INR 15,190,000 (0.28%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0053,MP Representative 0053,Karnataka,BALLARI-1,964,960,5090160000,V010731,Contractor Company 010731,2,15170000,0.0021,0.003,0.001324,0.000283,0.003,0.0083,SYNDICATE_008,2,11170000,0.0022,0.001328,0.003,0.0083,75.0,29.5,38.5,74.0,24.5,30.0,False,False,False,False,False,False,43.45,"['Shell syndicate SYNDICATE_008 received INR 11,170,000 (0.22%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0082,MP Representative 0082,Rajasthan,JODHPUR-3,1008,1002,5404250000,V016514,Contractor Company 016514,2,15960000,0.002,0.003,0.001266,0.000268,0.003,0.0084,SYNDICATE_031,2,18580000,0.0034,0.001273,0.0034,0.0092,28.5,29.5,44.0,29.5,70.0,68.0,False,False,False,False,False,False,43.42,"['Shell syndicate SYNDICATE_031 received INR 18,580,000 (0.34%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0031,MP Representative 0031,Gujarat,SURAT-4,939,931,4857220000,V005675,Contractor Company 005675,2,13470000,0.0021,0.0028,0.001376,0.000302,0.0028,0.0079,SYNDICATE_056,2,10890000,0.0022,0.00138,0.0028,0.0079,98.0,18.0,23.0,97.0,14.0,15.5,True,False,False,True,False,False,41.6,"['Vendor-level allocation HHI (0.001376) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_056 received INR 10,890,000 (0.22%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0056,MP Representative 0056,Telangana,WARANGAL-5,977,969,5115380000,V037402,Contractor Company 037402,2,15130000,0.002,0.003,0.00132,0.000288,0.003,0.0082,SYNDICATE_091,2,12080000,0.0024,0.001322,0.003,0.0082,72.5,29.5,34.0,71.0,24.5,26.0,False,False,False,False,False,False,41.58,"['Shell syndicate SYNDICATE_091 received INR 12,080,000 (0.24%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0055,MP Representative 0055,Tamil Nadu,MADURAI-3,992,989,5246660000,V035276,Contractor Company 035276,2,16620000,0.002,0.0032,0.001299,0.000288,0.0032,0.007,SYNDICATE_060,2,14080000,0.0027,0.001305,0.0032,0.0081,55.0,49.5,5.5,55.0,42.0,23.0,False,False,False,False,False,False,40.4,"['Shell syndicate SYNDICATE_060 received INR 14,080,000 (0.27%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0069,MP Representative 0069,Uttar Pradesh,LUCKNOW-4,1019,1009,5302490000,V015265,Contractor Company 015265,2,12950000,0.002,0.0024,0.001263,0.000272,0.0024,0.0066,SYNDICATE_037,4,31240000,0.0059,0.001289,0.0059,0.0106,25.5,2.0,2.0,42.0,100.0,97.0,False,False,False,False,True,True,39.8,"['Shell syndicate SYNDICATE_037 received INR 31,240,000 (0.59%) across 4 member contractors.', 'Syndicate-adjusted CR1 (0.59%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0006,MP Representative 0006,Tamil Nadu,MADURAI-5,1005,998,5327600000,V028073,Contractor Company 028073,2,16320000,0.002,0.0031,0.001273,0.000271,0.0031,0.0088,SYNDICATE_091,1,9940000,0.0019,0.001273,0.0031,0.0088,35.5,37.5,61.0,29.5,30.0,52.0,False,False,False,False,False,False,39.78,"['Shell syndicate SYNDICATE_091 received INR 9,940,000 (0.19%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0030,MP Representative 0030,Telangana,HYDERABAD-1,1039,1029,5447520000,V019129,Contractor Company 019129,2,17210000,0.0019,0.0032,0.001246,0.000274,0.0032,0.0088,SYNDICATE_095,3,11170000,0.0021,0.001251,0.0032,0.0088,13.5,49.5,61.0,15.0,42.0,52.0,False,False,False,False,False,False,39.33,"['Shell syndicate SYNDICATE_095 received INR 11,170,000 (0.21%) across 3 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0039,MP Representative 0039,Tamil Nadu,TIRUCHIRAPPALLI-2,974,967,5100350000,V024918,Contractor Company 024918,2,14740000,0.0021,0.0029,0.001317,0.000283,0.0029,0.0083,SYNDICATE_007,1,9690000,0.0019,0.001318,0.0029,0.0083,69.0,23.5,38.5,68.5,19.5,30.0,False,False,False,False,False,False,39.2,"['Shell syndicate SYNDICATE_007 received INR 9,690,000 (0.19%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0004,MP Representative 0004,Maharashtra,PUNE-1,1039,1025,5554040000,V031178,Contractor Company 031178,2,17910000,0.0019,0.0032,0.001244,0.000268,0.0032,0.0089,SYNDICATE_041,2,9630000,0.0017,0.001244,0.0032,0.0089,11.5,49.5,64.0,10.0,42.0,55.0,False,False,False,False,False,False,39.17,"['Shell syndicate SYNDICATE_041 received INR 9,630,000 (0.17%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0073,MP Representative 0073,Tamil Nadu,CHENNAI-3,962,951,4940180000,V047169,Contractor Company 047169,2,13800000,0.0021,0.0028,0.00135,0.000298,0.0028,0.0077,SYNDICATE_027,1,9920000,0.002,0.00135,0.0028,0.0077,91.0,18.0,17.5,90.0,14.0,10.5,True,False,False,True,False,False,38.17,"['Vendor-level allocation HHI (0.001350) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_027 received INR 9,920,000 (0.20%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0014,MP Representative 0014,West Bengal,DURGAPUR-5,958,947,4957370000,V046974,Contractor Company 046974,2,13520000,0.0021,0.0027,0.001353,0.000298,0.0027,0.0079,SYNDICATE_046,1,12990000,0.0026,0.001364,0.0027,0.008,94.0,11.0,23.0,95.0,8.5,19.0,True,False,False,True,False,False,38.1,"['Vendor-level allocation HHI (0.001353) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_046 received INR 12,990,000 (0.26%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0038,MP Representative 0038,Karnataka,KALABURAGI-3,1034,1022,5475850000,V042728,Contractor Company 042728,2,17380000,0.0019,0.0032,0.001242,0.000264,0.0032,0.0087,SYNDICATE_041,2,12640000,0.0023,0.001249,0.0032,0.0087,10.0,49.5,56.0,13.0,42.0,47.0,False,False,False,False,False,False,37.17,"['Shell syndicate SYNDICATE_041 received INR 12,640,000 (0.23%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0064,MP Representative 0064,Telangana,WARANGAL-1,947,939,5029860000,V049947,Contractor Company 049947,2,14160000,0.0021,0.0028,0.001344,0.000279,0.0028,0.0074,SYNDICATE_032,1,9850000,0.002,0.001344,0.0028,0.0074,89.0,18.0,12.0,88.5,14.0,5.5,False,False,False,False,False,False,36.3,"['Shell syndicate SYNDICATE_032 received INR 9,850,000 (0.20%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0086,MP Representative 0086,Bihar,MUZAFFARPUR-3,1032,1021,5486080000,V006725,Contractor Company 006725,2,17810000,0.0019,0.0032,0.001244,0.000265,0.0032,0.0085,SYNDICATE_096,2,15080000,0.0027,0.001248,0.0032,0.0087,11.5,49.5,48.5,11.5,42.0,47.0,False,False,False,False,False,False,36.2,"['Shell syndicate SYNDICATE_096 received INR 15,080,000 (0.27%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0045,MP Representative 0045,Tamil Nadu,MADURAI-2,1036,1027,5297680000,V041455,Contractor Company 041455,2,16600000,0.0019,0.0031,0.001267,0.000294,0.0031,0.0085,SYNDICATE_035,2,14540000,0.0027,0.001271,0.0031,0.0086,30.5,37.5,48.5,26.0,30.0,41.5,False,False,False,False,False,False,35.5,"['Shell syndicate SYNDICATE_035 received INR 14,540,000 (0.27%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0033,MP Representative 0033,Telangana,NIZAMABAD-5,960,951,5100300000,V009479,Contractor Company 009479,2,14430000,0.0021,0.0028,0.001328,0.000277,0.0028,0.0077,SYNDICATE_056,2,12940000,0.0025,0.001337,0.0028,0.0079,77.5,18.0,17.5,82.0,14.0,15.5,False,False,False,False,False,False,35.17,"['Shell syndicate SYNDICATE_056 received INR 12,940,000 (0.25%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0066,MP Representative 0066,Tamil Nadu,CHENNAI-1,987,980,5254320000,V046362,Contractor Company 046362,2,16060000,0.002,0.0031,0.00129,0.000269,0.0031,0.008,SYNDICATE_033,2,9600000,0.0018,0.001292,0.0031,0.008,46.0,37.5,27.5,45.0,30.0,19.0,False,False,False,False,False,False,35.1,"['Shell syndicate SYNDICATE_033 received INR 9,600,000 (0.18%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0099,MP Representative 0099,Karnataka,BALLARI-2,945,936,5050590000,V019932,Contractor Company 019932,2,13600000,0.0021,0.0027,0.001352,0.000284,0.0027,0.0071,SYNDICATE_027,2,11590000,0.0023,0.001357,0.0027,0.0072,93.0,11.0,7.5,92.5,8.5,2.0,True,False,False,True,False,False,33.62,"['Vendor-level allocation HHI (0.001352) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_027 received INR 11,590,000 (0.23%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0020,MP Representative 0020,Gujarat,BHAVNAGAR-2,948,943,4959680000,V004942,Contractor Company 004942,2,12790000,0.0021,0.0026,0.001358,0.000298,0.0026,0.0068,SYNDICATE_077,2,13040000,0.0026,0.001361,0.0026,0.0074,95.0,6.0,3.0,94.0,3.5,5.5,True,False,False,True,False,False,31.6,"['Vendor-level allocation HHI (0.001358) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_077 received INR 13,040,000 (0.26%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0013,MP Representative 0013,Uttar Pradesh,LUCKNOW-5,1058,1045,5516500000,V004422,Contractor Company 004422,2,17710000,0.0019,0.0032,0.001229,0.000272,0.0032,0.0079,SYNDICATE_048,2,16640000,0.003,0.001235,0.0032,0.0087,4.5,49.5,23.0,6.5,42.0,47.0,False,False,False,False,False,False,30.48,"['Shell syndicate SYNDICATE_048 received INR 16,640,000 (0.30%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0037,MP Representative 0037,Madhya Pradesh,UJJAIN-2,983,972,5071660000,V019364,Contractor Company 019364,2,13450000,0.002,0.0027,0.001324,0.000296,0.0027,0.0077,SYNDICATE_061,1,11350000,0.0022,0.001325,0.0027,0.0077,75.0,11.0,17.5,73.0,8.5,10.5,False,False,False,False,False,False,30.42,"['Shell syndicate SYNDICATE_061 received INR 11,350,000 (0.22%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0072,MP Representative 0072,Madhya Pradesh,INDORE-1,972,966,5036720000,V046892,Contractor Company 046892,2,13830000,0.0021,0.0027,0.001329,0.000294,0.0027,0.0074,SYNDICATE_010,1,9680000,0.0019,0.001329,0.0027,0.0074,79.0,11.0,12.0,76.0,8.5,5.5,False,False,False,False,False,False,30.2,"['Shell syndicate SYNDICATE_010 received INR 9,680,000 (0.19%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0010,MP Representative 0010,Karnataka,BELAGAVI-4,1021,1008,5413540000,V032560,Contractor Company 032560,2,15910000,0.002,0.0029,0.001275,0.000283,0.0029,0.0083,SYNDICATE_046,1,8980000,0.0017,0.001275,0.0029,0.0083,37.0,23.5,38.5,33.0,19.5,30.0,False,False,False,False,False,False,29.25,"['Shell syndicate SYNDICATE_046 received INR 8,980,000 (0.17%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0058,MP Representative 0058,Uttar Pradesh,KANPUR-1,1066,1048,5721080000,V019194,Contractor Company 019194,2,17670000,0.0019,0.0031,0.001229,0.000275,0.0031,0.0085,SYNDICATE_082,1,11220000,0.002,0.001231,0.0031,0.0085,4.5,37.5,48.5,3.5,30.0,37.5,False,False,False,False,False,False,27.65,"['Shell syndicate SYNDICATE_082 received INR 11,220,000 (0.20%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0044,MP Representative 0044,Karnataka,BELAGAVI-4,1051,1042,5541430000,V003975,Contractor Company 003975,2,15680000,0.0019,0.0028,0.001221,0.000261,0.0028,0.0075,SYNDICATE_011,2,18870000,0.0034,0.001231,0.0034,0.0089,2.0,18.0,14.5,3.5,70.0,55.0,False,False,False,False,False,False,26.92,"['Shell syndicate SYNDICATE_011 received INR 18,870,000 (0.34%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0021,MP Representative 0021,Telangana,KARIMNAGAR-3,1049,1033,5607850000,V028184,Contractor Company 028184,2,17290000,0.0019,0.0031,0.001231,0.000263,0.0031,0.0082,SYNDICATE_077,2,15150000,0.0027,0.001235,0.0031,0.0085,7.5,37.5,34.0,6.5,30.0,37.5,False,False,False,False,False,False,26.38,"['Shell syndicate SYNDICATE_077 received INR 15,150,000 (0.27%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0057,MP Representative 0057,West Bengal,SILIGURI-2,1004,992,5358610000,V049766,Contractor Company 049766,2,14820000,0.002,0.0028,0.001282,0.000275,0.0028,0.008,SYNDICATE_077,2,14780000,0.0028,0.001286,0.0028,0.0082,40.5,18.0,27.5,39.5,14.0,26.0,False,False,False,False,False,False,26.08,"['Shell syndicate SYNDICATE_077 received INR 14,780,000 (0.28%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0094,MP Representative 0094,Madhya Pradesh,UJJAIN-4,1035,1015,5398240000,V032915,Contractor Company 032915,2,15760000,0.0019,0.0029,0.001256,0.000271,0.0029,0.0084,SYNDICATE_011,2,10580000,0.002,0.001259,0.0029,0.0084,19.0,23.5,44.0,19.5,19.5,34.0,False,False,False,False,False,False,25.52,"['Shell syndicate SYNDICATE_011 received INR 10,580,000 (0.20%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0052,MP Representative 0052,Bihar,MUZAFFARPUR-2,1041,1033,5483410000,V012226,Contractor Company 012226,2,16820000,0.0019,0.0031,0.001247,0.000279,0.0031,0.0078,SYNDICATE_057,2,12330000,0.0022,0.00125,0.0031,0.0078,16.0,37.5,20.5,14.0,30.0,13.5,False,False,False,False,False,False,24.4,"['Shell syndicate SYNDICATE_057 received INR 12,330,000 (0.22%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0016,MP Representative 0016,Karnataka,KALABURAGI-2,986,976,5176120000,V016214,Contractor Company 016214,2,12840000,0.002,0.0025,0.001308,0.000284,0.0025,0.0069,SYNDICATE_090,2,13500000,0.0026,0.001313,0.0026,0.0075,59.0,3.5,4.0,62.5,3.5,8.0,False,False,False,False,False,False,21.02,"['Shell syndicate SYNDICATE_090 received INR 13,500,000 (0.26%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0100,MP Representative 0100,Maharashtra,NASHIK-5,1041,1034,5404640000,V020549,Contractor Company 020549,2,16190000,0.0019,0.003,0.001231,0.000264,0.003,0.0078,SYNDICATE_056,1,9640000,0.0018,0.001231,0.003,0.0078,7.5,29.5,20.5,3.5,24.5,13.5,False,False,False,False,False,False,18.55,"['Shell syndicate SYNDICATE_056 received INR 9,640,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0015,MP Representative 0015,Karnataka,BELAGAVI-2,1034,1023,5274310000,V045840,Contractor Company 045840,2,14480000,0.0019,0.0027,0.001259,0.000282,0.0027,0.008,SYNDICATE_039,1,11370000,0.0022,0.001261,0.0027,0.008,21.5,11.0,27.5,21.0,8.5,19.0,False,False,False,False,False,False,16.88,"['Shell syndicate SYNDICATE_039 received INR 11,370,000 (0.22%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0063,MP Representative 0063,Gujarat,RAJKOT-2,1036,1016,5491030000,V034152,Contractor Company 034152,2,14280000,0.0019,0.0026,0.001262,0.000278,0.0026,0.0073,SYNDICATE_044,2,15860000,0.0029,0.001272,0.0029,0.0081,24.0,6.0,9.5,27.0,19.5,23.0,False,False,False,False,False,False,16.62,"['Shell syndicate SYNDICATE_044 received INR 15,860,000 (0.29%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0087,MP Representative 0087,Rajasthan,JAIPUR-2,1093,1078,5805610000,V032921,Contractor Company 032921,2,16760000,0.0018,0.0029,0.001187,0.00026,0.0029,0.0077,SYNDICATE_081,2,12290000,0.0021,0.001194,0.0029,0.0077,1.0,23.5,17.5,1.0,19.5,10.5,False,False,False,False,False,False,13.75,"['Shell syndicate SYNDICATE_081 received INR 12,290,000 (0.21%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0024,MP Representative 0024,Madhya Pradesh,BHOPAL-2,979,974,5286790000,V007599,Contractor Company 007599,1,9980000,0.001,0.0019,0.001276,0.00025,0.0019,0.0057,SYNDICATE_043,1,9890000,0.0019,0.001276,0.0019,0.0057,38.0,1.0,1.0,35.0,1.0,1.0,False,False,False,False,False,False,11.8,"['Shell syndicate SYNDICATE_043 received INR 9,890,000 (0.19%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0002,MP Representative 0002,Bihar,GAYA-1,1054,1050,5466750000,V030957,Contractor Company 030957,2,14680000,0.0019,0.0027,0.001227,0.000275,0.0027,0.007,SYNDICATE_041,2,15790000,0.0029,0.001239,0.0029,0.0082,3.0,11.0,5.5,8.0,19.5,26.0,False,False,False,False,False,False,11.48,"['Shell syndicate SYNDICATE_041 received INR 15,790,000 (0.29%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0048,MP Representative 0048,Bihar,AURANGABAD-4,1030,1018,5404270000,V019260,Contractor Company 019260,2,14730000,0.0019,0.0027,0.001247,0.000265,0.0027,0.0074,SYNDICATE_038,2,9850000,0.0018,0.001248,0.0027,0.0074,16.0,11.0,12.0,11.5,8.5,5.5,False,False,False,False,False,False,11.15,"['Shell syndicate SYNDICATE_038 received INR 9,850,000 (0.18%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0019,MP Representative 0019,Bihar,AURANGABAD-1,1026,1021,5394320000,V020689,Contractor Company 020689,2,13820000,0.0019,0.0026,0.001247,0.000268,0.0026,0.0071,SYNDICATE_059,2,12650000,0.0023,0.001252,0.0026,0.0073,16.0,6.0,7.5,16.0,3.5,3.0,False,False,False,False,False,False,8.43,"['Shell syndicate SYNDICATE_059 received INR 12,650,000 (0.23%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0026,MP Representative 0026,Telangana,WARANGAL-3,1049,1039,5488930000,V002466,Contractor Company 002466,2,13970000,0.0019,0.0025,0.001237,0.000275,0.0025,0.0075,SYNDICATE_088,2,14490000,0.0026,0.001242,0.0026,0.0077,9.0,3.5,14.5,9.0,3.5,10.5,False,False,False,False,False,False,7.5,"['Shell syndicate SYNDICATE_088 received INR 14,490,000 (0.26%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
