Project_ID,ML_Anomaly_Score,Graph_Risk_Score,Photo_Risk_Score,Work_Splitting_Score,Vendor_Concentration_Score,Utilization_Risk_Score,Final_Risk_Score,Risk_Level
P00009209,19,7,70,13,24,4,22,Low
P00009210,33,17,0,32,5,6,15,Low
P00009211,31,9,70,15,29,3,26,Low
P00009212,28,7,0,25,10,6,12,Low
P00009213,22,29,0,27,6,3,14,Low
P00009214,7,8,0,28,33,1,12,Low
P00009215,26,17,0,15,14,0,12,Low
P00009216,5,29,0,23,9,3,11,Low
P00009217,21,10,0,8,30,1,11,Low
P00009218,29,31,0,8,18,4,15,Low
P00009219,13,25,0,21,29,7,15,Low
P00009220,14,12,0,30,19,3,13,Low
P00009221,67,29,0,10,27,47,30,Low
P00009222,19,25,0,12,20,3,13,Low
P00009223,16,24,0,13,13,4,11,Low
P00009224,19,84,70,8,26,0,34,Low
P00009225,20,75,0,7,18,0,20,Low
P00009226,10,14,0,15,17,3,9,Low
P00009227,26,14,0,27,32,1,16,Low
P00009228,22,12,0,13,7,1,9,Low
P00009229,22,34,30,33,89,1,34,Low
P00009230,19,8,0,11,35,3,12,Low
P00009231,22,31,70,10,21,5,26,Low
P00009232,15,75,70,23,13,3,33,Low
P00009233,16,35,0,9,19,4,13,Low
P00009234,78,16,70,10,33,51,43,Medium
P00009235,17,12,0,20,33,4,14,Low
P00009236,27,16,0,22,17,2,14,Low
P00009237,6,26,0,32,11,1,12,Low
P00009238,15,35,0,7,16,3,12,Low
P00009239,22,34,0,28,8,4,16,Low
P00009240,34,6,0,27,9,3,13,Low
P00009241,28,21,0,10,11,40,18,Low
P00009242,14,9,0,31,17,2,12,Low
P00009243,27,16,30,17,32,2,20,Low
P00009244,23,14,0,7,28,1,12,Low
P00009245,24,8,0,29,6,25,15,Low
P00009246,13,52,0,26,22,1,19,Low
P00009247,30,18,0,23,14,3,14,Low
P00009248,21,81,0,34,17,1,25,Low
P00009249,10,27,0,7,26,3,12,Low
P00009250,17,23,0,20,10,0,11,Low
P00009251,18,15,0,24,35,3,15,Low
P00009252,21,32,0,20,35,5,18,Low
P00009253,18,68,0,19,15,5,20,Low
P00009254,13,18,0,7,20,0,9,Low
P00009255,27,19,0,29,63,4,23,Low
P00009256,18,10,0,30,28,1,14,Low
P00009257,20,19,0,12,59,3,18,Low
P00009258,5,20,0,22,24,19,15,Low
P00009259,10,12,0,5,26,6,9,Low
P00009260,16,17,0,33,13,3,13,Low
P00009261,32,29,70,10,26,7,29,Low
P00009262,47,23,0,12,27,44,25,Low
P00009263,16,28,0,20,26,4,15,Low
P00009264,13,28,0,35,6,2,14,Low
P00009265,7,35,30,28,14,1,19,Low
P00009266,23,5,0,12,17,5,10,Low
P00009267,12,12,0,25,45,6,16,Low
P00009268,34,25,0,25,20,2,17,Low
P00009269,11,28,0,15,27,6,14,Low
P00009270,23,15,0,30,33,2,17,Low
P00009271,9,18,70,16,25,6,24,Low
P00009272,11,87,0,18,32,6,25,Low
P00009273,15,23,0,18,9,3,11,Low
P00009274,7,28,0,23,8,38,17,Low
P00009275,21,23,30,7,35,3,19,Low
P00009276,18,24,0,23,28,2,15,Low
P00009277,15,8,70,26,7,6,22,Low
P00009278,63,10,0,15,28,42,26,Low
P00009279,30,24,0,29,20,0,17,Low
P00009280,28,33,0,31,27,2,20,Low
P00009281,23,71,0,11,19,5,21,Low
P00009282,52,17,0,9,54,56,31,Low
P00009283,9,30,0,18,5,1,10,Low
P00009284,59,8,0,12,16,42,22,Low
P00009285,8,12,0,19,31,1,11,Low
P00009286,26,14,0,35,5,0,13,Low
P00009287,23,34,0,27,13,6,17,Low
P00009288,31,62,0,16,20,0,21,Low
P00009289,35,17,0,21,17,6,16,Low
P00009290,28,30,0,26,33,6,20,Low
P00009291,7,12,0,27,23,4,12,Low
P00009292,15,72,0,9,26,4,21,Low
P00009293,26,27,0,14,12,37,19,Low
P00009294,18,11,0,28,7,7,11,Low
P00009295,29,16,0,16,22,0,13,Low
P00009296,30,34,0,12,15,2,15,Low
P00009297,76,51,0,22,25,55,38,Medium
P00009298,11,34,0,16,10,1,12,Low
P00009299,28,21,0,22,19,3,15,Low
P00009300,14,16,0,15,34,6,14,Low
P00009301,25,50,0,9,21,3,18,Low
P00009302,15,5,0,26,8,6,10,Low
P00009303,29,11,0,25,7,6,13,Low
P00009304,23,8,0,30,17,3,13,Low
P00009305,6,18,0,27,18,1,11,Low
P00009306,14,7,0,12,17,6,9,Low
P00009307,12,35,0,22,18,3,15,Low
P00009308,29,8,0,24,6,0,11,Low
P00009309,9,18,0,14,23,6,11,Low
P00009310,13,48,0,29,27,0,19,Low
P00009311,25,24,0,23,22,1,15,Low
P00009312,31,34,0,12,30,4,18,Low
P00009313,27,6,0,6,13,0,8,Low
P00009314,7,31,0,27,25,5,15,Low
P00009315,79,15,0,22,23,46,30,Low
P00009316,27,25,0,10,28,4,15,Low
P00009317,21,23,0,30,13,1,14,Low
P00009318,29,17,0,9,13,5,12,Low
P00009319,18,11,30,22,23,0,17,Low
P00009320,27,14,70,19,27,25,30,Low
P00009321,11,26,0,8,11,2,9,Low
P00009322,21,12,0,28,6,4,11,Low
P00009323,27,31,0,29,14,4,17,Low
P00009324,20,55,0,19,34,6,22,Low
P00009325,12,34,0,23,17,3,14,Low
P00009326,25,16,0,30,12,6,14,Low
P00009327,29,5,0,19,52,3,18,Low
P00009328,15,8,0,14,6,1,7,Low
P00009329,23,72,0,31,13,5,24,Low
P00009330,21,32,70,10,10,4,24,Low
P00009331,11,76,0,12,20,28,24,Low
P00009332,15,24,0,25,31,5,16,Low
P00009333,28,9,0,18,13,6,12,Low
P00009334,32,10,0,30,30,0,17,Low
P00009335,22,67,0,9,27,5,21,Low
P00009336,27,8,0,32,10,2,13,Low
P00009337,14,5,0,35,5,0,9,Low
P00009338,26,34,0,31,31,1,20,Low
P00009339,35,23,0,20,12,3,15,Low
P00009340,23,25,0,34,26,0,18,Low
P00009341,27,21,0,23,16,6,15,Low
P00009342,10,20,70,5,19,7,21,Low
P00009343,14,14,0,23,25,3,13,Low
P00009344,22,20,0,7,76,0,20,Low
P00009345,17,24,70,32,17,0,26,Low
P00009346,65,28,0,27,62,49,38,Medium
P00009347,26,28,0,30,7,5,16,Low
P00009348,21,26,0,17,21,1,14,Low
P00009349,23,7,0,22,28,4,14,Low
P00009350,33,16,0,31,8,2,15,Low
P00009351,11,32,0,13,23,4,13,Low
P00009352,72,30,0,28,13,57,33,Low
P00009353,19,33,0,9,35,1,16,Low
P00009354,27,5,0,28,20,2,13,Low
P00009355,17,15,0,23,33,5,15,Low
P00009356,25,19,70,18,24,1,26,Low
P00009357,31,30,0,28,7,2,16,Low
P00009358,25,14,0,30,26,3,16,Low
P00009359,17,15,0,22,7,1,10,Low
P00009360,10,31,0,27,11,2,13,Low
P00009361,16,10,0,25,6,3,10,Low
P00009362,27,34,30,20,61,0,28,Low
P00009363,5,27,0,35,50,6,20,Low
P00009364,8,7,0,27,6,5,8,Low
P00009365,18,66,0,17,35,1,22,Low
P00009366,35,13,0,34,19,1,17,Low
P00009367,29,35,0,9,21,3,16,Low
P00009368,15,18,0,35,35,1,17,Low
P00009369,50,12,0,32,18,46,26,Low
P00009370,9,32,0,12,29,1,13,Low
P00009371,19,35,0,12,9,3,13,Low
P00009372,11,12,0,6,22,2,8,Low
P00009373,6,13,0,24,20,3,11,Low
P00009374,35,16,0,5,5,4,10,Low
P00009375,21,29,0,13,5,2,11,Low
P00009376,24,17,0,22,30,5,16,Low
P00009377,10,14,0,8,69,1,17,Low
P00009378,28,25,0,7,9,4,12,Low
P00009379,16,24,0,24,70,2,22,Low
P00009380,31,17,0,22,17,1,14,Low
P00009381,25,28,0,23,8,0,14,Low
P00009382,31,5,0,30,10,2,13,Low
P00009383,30,24,0,5,5,2,11,Low
P00009384,76,9,0,14,20,54,28,Low
P00009385,26,22,0,6,29,0,13,Low
P00009386,27,54,0,5,26,2,19,Low
P00009387,26,35,0,29,23,5,19,Low
P00009388,5,35,0,12,12,2,11,Low
P00009389,30,32,0,9,21,5,16,Low
P00009390,18,33,0,9,20,1,13,Low
P00009391,10,83,30,9,32,4,28,Low
P00009392,22,75,0,27,25,2,25,Low
P00009393,31,10,0,30,18,4,15,Low
P00009394,25,31,0,6,30,6,16,Low
P00009395,19,27,70,10,24,4,25,Low
P00009396,14,77,0,5,22,1,19,Low
P00009397,23,20,0,11,22,2,13,Low
P00009398,14,30,0,7,31,2,14,Low
P00009399,30,25,0,12,34,1,17,Low
P00009400,35,60,0,6,17,6,20,Low
P00009401,17,71,0,14,32,5,23,Low
P00009402,22,32,0,27,10,2,15,Low
P00009403,35,23,0,21,61,6,24,Low
P00009404,23,29,0,34,30,1,19,Low
P00009405,26,13,0,9,30,1,13,Low
P00009406,26,23,0,30,17,4,16,Low
P00009407,11,28,0,34,5,3,13,Low
P00009408,19,79,70,26,31,2,37,Medium
P00009409,22,24,0,6,29,3,14,Low
P00009410,31,31,0,9,9,0,13,Low
P00009411,31,71,0,16,16,1,22,Low
P00009412,25,77,0,15,25,3,24,Low
P00009413,27,22,0,21,21,3,15,Low
P00009414,7,23,70,18,12,4,22,Low
P00009415,6,8,0,30,43,1,14,Low
P00009416,19,6,0,30,24,4,13,Low
P00009417,30,66,0,14,11,6,21,Low
P00009418,8,33,0,29,7,1,13,Low
P00009419,24,14,0,16,34,4,15,Low
P00009420,33,22,0,35,16,4,18,Low
P00009421,77,23,0,34,88,44,44,Medium
P00009422,35,32,0,35,24,6,22,Low
P00009423,21,30,0,7,6,7,11,Low
P00009424,5,7,0,34,18,0,10,Low
P00009425,64,32,0,30,25,49,33,Low
P00009426,12,35,0,30,14,1,15,Low
P00009427,19,12,0,20,33,2,14,Low
P00009428,8,26,0,28,13,4,13,Low
P00009429,9,8,0,11,26,7,10,Low
P00009430,19,17,0,16,19,3,12,Low
P00009431,22,28,0,29,24,5,18,Low
P00009432,14,33,0,11,10,5,12,Low
P00009433,21,24,0,8,10,2,10,Low
P00009434,11,9,70,21,58,7,29,Low
P00009435,12,65,0,15,64,0,26,Low
P00009436,19,7,0,11,27,0,10,Low
P00009437,7,26,0,10,46,5,15,Low
P00009438,31,20,0,18,32,2,17,Low
P00009439,23,33,70,30,33,1,31,Low
P00009440,17,32,0,27,10,4,15,Low
P00009441,21,22,0,10,12,6,11,Low
P00009442,32,9,0,13,29,4,14,Low
P00009443,20,21,0,27,27,6,16,Low
P00009444,29,15,0,5,28,7,14,Low
P00009445,14,20,0,30,23,1,14,Low
P00009446,30,7,0,24,7,2,11,Low
P00009447,27,10,0,16,22,4,13,Low
P00009448,13,24,0,11,35,1,14,Low
P00009449,14,26,0,12,56,2,18,Low
P00009450,9,31,0,18,7,3,11,Low
P00009451,12,33,0,7,88,2,23,Low
P00009452,21,34,0,6,23,0,14,Low
P00009453,9,15,0,22,10,1,9,Low
P00009454,12,5,0,30,14,2,10,Low
P00009455,28,33,0,32,17,6,19,Low
P00009456,6,25,0,6,9,1,7,Low
P00009457,14,19,0,9,26,1,11,Low
P00009458,28,16,0,8,17,5,12,Low
P00009459,9,7,0,17,29,2,10,Low
P00009460,53,15,0,11,30,47,26,Low
P00009461,26,78,0,15,27,1,24,Low
P00009462,9,31,0,34,19,6,16,Low
P00009463,24,11,0,7,28,27,16,Low
P00009464,35,27,0,19,22,3,17,Low
P00009465,35,20,30,20,8,0,18,Low
P00009466,35,27,0,19,21,1,17,Low
P00009467,25,16,0,20,5,4,11,Low
P00009468,16,14,0,21,33,22,17,Low
P00009469,26,15,0,13,6,6,11,Low
P00009470,29,26,0,23,5,4,14,Low
P00009471,31,29,0,22,15,1,16,Low
P00009472,26,13,0,26,20,5,15,Low
P00009473,11,11,0,16,33,2,12,Low
P00009474,19,18,0,21,17,4,13,Low
P00009475,32,17,30,14,29,2,20,Low
P00009476,22,32,0,5,5,4,11,Low
P00009477,8,35,0,12,13,4,12,Low
P00009478,12,28,0,14,23,3,13,Low
P00009479,11,21,0,6,23,5,11,Low
P00009480,33,19,70,6,67,38,38,Medium
P00009481,8,19,30,21,63,6,24,Low
P00009482,16,14,30,8,12,1,13,Low
P00009483,21,19,0,11,67,3,20,Low
P00009484,11,26,0,19,35,3,15,Low
P00009485,19,30,30,22,34,0,22,Low
P00009486,30,21,0,32,27,7,19,Low
P00009487,16,5,0,19,7,2,8,Low
P00009488,22,22,0,11,27,2,14,Low
P00009489,7,11,70,17,19,4,21,Low
P00009490,12,8,0,25,33,0,13,Low
P00009491,17,29,0,18,68,3,22,Low
P00009492,15,16,70,10,30,5,24,Low
P00009493,15,22,0,15,12,2,11,Low
P00009494,17,18,0,19,29,1,14,Low
P00009495,18,28,0,11,11,7,12,Low
P00009496,12,5,0,23,24,4,11,Low
P00009497,31,25,0,26,17,5,17,Low
P00009498,12,6,30,5,19,6,13,Low
P00009499,27,70,0,5,7,2,18,Low
P00009500,6,9,0,21,12,0,8,Low
P00009501,25,31,0,7,34,5,17,Low
P00009502,27,24,0,21,59,4,22,Low
P00009503,24,81,0,22,13,2,23,Low
P00009504,23,29,0,23,11,5,15,Low
P00009505,31,24,0,15,20,5,15,Low
P00009506,10,8,0,27,13,4,10,Low
P00009507,21,12,0,20,34,3,15,Low
P00009508,34,7,0,6,5,2,9,Low
P00009509,29,24,0,28,9,0,15,Low
P00009510,26,59,0,11,29,7,22,Low
P00009511,8,26,0,15,6,2,9,Low
P00009512,17,22,0,11,26,3,13,Low
P00009513,33,19,0,30,32,1,19,Low
P00009514,22,8,0,34,31,3,16,Low
P00009515,42,8,0,28,31,57,27,Low
P00009516,17,63,0,12,29,7,21,Low
P00009517,11,27,0,31,5,26,16,Low
P00009518,29,21,0,19,12,0,13,Low
P00009519,34,18,0,10,28,37,21,Low
P00009520,17,5,0,21,58,4,17,Low
P00009521,30,31,0,15,23,1,16,Low
P00009522,23,34,0,7,6,0,11,Low
P00009523,24,17,0,30,27,0,16,Low
P00009524,21,9,0,12,17,6,10,Low
P00009525,8,20,0,32,21,0,13,Low
P00009526,19,33,0,35,35,2,20,Low
P00009527,27,33,0,7,30,6,17,Low
P00009528,17,23,0,18,15,2,12,Low
P00009529,7,16,0,9,8,5,7,Low
P00009530,14,18,0,9,20,1,10,Low
P00009531,23,30,0,32,8,4,16,Low
P00009532,28,47,0,35,28,3,23,Low
P00009533,22,22,0,34,54,1,22,Low
P00009534,49,14,0,19,28,55,27,Low
P00009535,10,34,0,10,10,2,11,Low
P00009536,21,35,0,26,5,7,15,Low
P00009537,26,76,0,5,50,2,26,Low
P00009538,28,8,0,9,9,5,9,Low
P00009539,32,26,0,17,32,5,18,Low
P00009540,9,31,0,32,34,7,18,Low
P00009541,12,28,0,20,6,6,12,Low
P00009542,28,68,0,6,29,3,22,Low
P00009543,14,83,0,20,9,1,21,Low
P00009544,9,29,0,17,44,2,16,Low
P00009545,14,33,70,24,25,4,28,Low
P00009546,5,20,0,26,8,2,10,Low
P00009547,29,12,0,22,26,1,15,Low
P00009548,19,29,0,26,22,25,20,Low
P00009549,20,43,0,15,5,24,17,Low
P00009550,28,33,0,31,26,5,20,Low
P00009551,32,8,0,7,26,23,16,Low
P00009552,32,25,0,14,35,3,18,Low
P00009553,9,91,0,26,20,4,25,Low
P00009554,5,26,0,24,7,0,10,Low
P00009555,6,26,0,30,13,4,13,Low
P00009556,23,27,0,17,21,1,14,Low
P00009557,22,14,70,6,39,0,25,Low
P00009558,33,22,0,7,19,0,13,Low
P00009559,9,83,0,31,31,1,25,Low
P00009560,5,29,0,34,5,2,12,Low
P00009561,25,46,0,32,8,1,18,Low
P00009562,12,29,0,33,24,5,17,Low
P00009563,11,15,0,9,31,4,11,Low
P00009564,9,8,0,18,11,1,7,Low
P00009565,12,24,70,31,33,0,28,Low
P00009566,21,11,0,8,15,5,10,Low
P00009567,28,27,70,16,35,3,29,Low
P00009568,11,70,0,17,21,0,19,Low
P00009569,19,13,0,33,25,3,15,Low
P00009570,76,31,0,23,20,52,33,Low
P00009571,20,35,0,35,7,30,21,Low
P00009572,7,22,0,30,9,0,11,Low
P00009573,69,34,0,32,19,54,34,Low
P00009574,32,21,0,24,11,4,15,Low
P00009575,12,14,0,21,5,6,9,Low
P00009576,32,25,0,28,22,3,18,Low
P00009577,5,23,0,15,64,40,24,Low
P00009578,60,31,0,35,10,52,31,Low
P00009579,30,28,0,17,13,35,20,Low
P00009580,6,16,70,19,8,0,19,Low
P00009581,11,43,0,33,11,3,16,Low
P00009582,7,32,70,27,15,4,25,Low
P00009583,7,34,0,31,17,6,15,Low
P00009584,31,17,30,14,18,5,19,Low
P00009585,17,22,0,20,16,4,13,Low
P00009586,16,19,0,21,30,4,15,Low
P00009587,18,56,0,19,9,5,17,Low
P00009588,27,24,0,20,34,5,18,Low
P00009589,12,29,0,17,31,2,15,Low
P00009590,11,10,0,13,13,6,8,Low
P00009591,28,29,0,19,34,3,18,Low
P00009592,33,12,0,19,29,3,16,Low
P00009593,10,28,0,25,29,0,15,Low
P00009594,29,34,0,7,19,0,14,Low
P00009595,12,34,0,26,11,6,14,Low
P00009596,11,14,0,32,20,0,12,Low
P00009597,8,27,0,7,5,2,8,Low
P00009598,16,10,70,16,13,7,22,Low
P00009599,56,9,0,6,17,44,22,Low
P00009600,22,31,0,28,15,7,17,Low
P00009601,6,11,0,34,18,4,12,Low
P00009602,11,33,0,19,20,3,14,Low
P00009603,5,17,0,31,29,1,13,Low
P00009604,29,13,0,28,19,2,15,Low
P00009605,8,18,0,22,6,6,10,Low
P00009606,56,24,0,20,24,49,28,Low
P00009607,23,25,0,33,27,4,18,Low
P00009608,28,11,0,7,34,6,14,Low
P00009609,12,16,0,6,46,4,14,Low
P00009610,8,30,0,11,52,3,17,Low
P00009611,24,53,0,24,15,1,19,Low
P00009612,5,69,0,9,32,4,19,Low
P00009613,25,35,0,10,18,3,15,Low
P00009614,35,29,0,22,27,3,19,Low
P00009615,9,21,30,8,61,3,22,Low
P00009616,26,42,0,17,7,0,15,Low
P00009617,24,11,0,23,33,3,15,Low
P00009618,5,18,0,26,33,3,14,Low
P00009619,26,30,0,17,30,29,22,Low
P00009620,29,65,0,34,7,4,23,Low
P00009621,19,12,0,20,71,3,20,Low
P00009622,24,35,0,11,10,0,13,Low
P00009623,21,29,0,7,24,4,14,Low
P00009624,13,29,0,10,82,4,23,Low
P00009625,14,14,0,32,18,3,13,Low
P00009626,23,21,0,5,18,7,12,Low
P00009627,33,16,0,8,25,33,19,Low
P00009628,35,28,70,31,29,4,32,Low
P00009629,20,27,0,21,18,0,14,Low
P00009630,34,6,0,26,28,4,16,Low
P00009631,18,16,0,13,73,1,20,Low
P00009632,6,8,70,16,5,4,18,Low
P00009633,11,25,0,11,8,0,9,Low
P00009634,22,6,0,29,24,2,13,Low
P00009635,29,5,0,30,18,0,13,Low
P00009636,14,60,0,17,12,5,18,Low
P00009637,10,16,0,6,26,2,10,Low
P00009638,7,11,70,32,20,1,23,Low
P00009639,33,21,0,14,44,4,19,Low
P00009640,24,24,0,27,17,0,15,Low
P00009641,34,15,0,19,35,2,17,Low
P00009642,30,11,0,10,15,1,11,Low
P00009643,24,65,0,33,34,7,27,Low
P00009644,12,69,0,32,16,1,21,Low
P00009645,10,29,70,27,17,3,26,Low
P00009646,23,6,0,26,7,7,11,Low
P00009647,43,15,0,14,29,58,26,Low
P00009648,8,6,0,29,16,4,10,Low
P00009649,33,20,0,6,34,6,16,Low
P00009650,24,31,0,8,16,1,13,Low
P00009651,17,24,0,30,17,5,15,Low
P00009652,34,13,0,33,32,2,19,Low
P00009653,32,60,0,26,27,2,24,Low
P00009654,26,17,0,34,14,4,15,Low
P00009655,22,33,0,7,22,4,14,Low
P00009656,6,27,0,35,29,0,16,Low
P00009657,5,28,30,5,27,1,16,Low
P00009658,30,23,0,22,28,6,18,Low
P00009659,21,23,70,31,24,1,28,Low
P00009660,26,88,0,8,35,3,26,Low
P00009661,8,12,0,7,14,2,7,Low
P00009662,27,31,0,10,19,0,14,Low
P00009663,34,19,0,25,8,38,20,Low
P00009664,16,24,0,9,28,4,13,Low
P00009665,16,64,0,29,30,4,23,Low
P00009666,13,26,0,15,30,6,15,Low
P00009667,33,12,0,27,22,2,16,Low
P00009668,22,27,0,23,10,2,14,Low
P00009669,18,34,0,27,6,39,20,Low
P00009670,20,28,0,24,28,7,17,Low
P00009671,25,23,0,22,35,1,17,Low
P00009672,64,13,0,14,13,49,25,Low
P00009673,17,74,0,6,18,2,19,Low
P00009674,20,30,0,27,9,0,14,Low
P00009675,11,11,0,31,16,3,12,Low
P00009676,8,34,0,13,9,0,10,Low
P00009677,29,27,0,7,31,4,16,Low
P00009678,19,5,0,11,30,5,11,Low
P00009679,9,27,0,17,13,6,12,Low
P00009680,26,5,0,25,14,0,11,Low
P00009681,10,33,0,8,13,4,11,Low
P00009682,33,34,0,11,17,2,16,Low
P00009683,52,22,0,33,19,58,30,Low
P00009684,29,18,0,12,23,1,13,Low
P00009685,11,34,0,7,28,5,14,Low
P00009686,16,33,0,8,28,6,15,Low
P00009687,18,15,0,14,16,6,11,Low
P00009688,14,29,0,19,23,1,14,Low
P00009689,21,19,0,31,20,1,15,Low
P00009690,34,16,0,32,14,0,16,Low
P00009691,32,24,0,35,10,0,16,Low
P00009692,49,7,0,15,30,57,26,Low
P00009693,19,33,0,19,9,7,14,Low
P00009694,30,30,0,11,30,6,17,Low
P00009695,18,7,0,9,14,0,8,Low
P00009696,14,29,0,15,35,0,15,Low
P00009697,5,14,0,27,9,5,10,Low
P00009698,27,27,30,24,9,1,19,Low
P00009699,13,7,0,34,6,4,10,Low
P00009700,16,26,0,8,28,2,13,Low
P00009701,27,14,0,32,23,3,16,Low
P00009702,12,29,0,34,33,2,18,Low
P00009703,33,16,0,26,10,1,14,Low
P00009704,35,22,0,11,41,0,18,Low
P00009705,21,26,0,15,20,1,13,Low
P00009706,42,16,0,6,24,48,22,Low
P00009707,28,23,30,32,5,0,19,Low
P00009708,8,31,0,29,24,1,15,Low
P00009709,15,7,0,29,14,32,16,Low
P00009710,29,26,0,19,9,6,14,Low
P00009711,30,17,70,9,20,3,24,Low
P00009712,28,6,0,13,10,0,9,Low
P00009713,25,5,0,14,43,3,15,Low
P00009714,14,17,0,13,27,5,12,Low
P00009715,11,28,0,17,5,4,10,Low
P00009716,21,76,0,29,16,6,24,Low
P00009717,24,61,0,7,25,3,20,Low
P00009718,11,16,70,33,75,3,34,Low
P00009719,33,16,0,15,23,6,15,Low
P00009720,18,55,0,32,30,3,23,Low
P00009721,14,15,70,26,23,7,25,Low
P00009722,19,18,70,12,17,6,23,Low
P00009723,6,17,0,29,65,4,20,Low
P00009724,34,23,0,19,23,3,17,Low
P00009725,19,20,0,19,5,3,11,Low
P00009726,26,94,0,33,14,6,28,Low
P00009727,6,68,0,6,10,0,15,Low
P00009728,14,29,0,31,32,23,21,Low
P00009729,27,23,0,30,29,3,18,Low
P00009730,34,5,0,29,20,2,15,Low
P00009731,34,19,0,29,31,0,18,Low
P00009732,31,5,0,24,21,3,14,Low
P00009733,6,9,0,35,21,5,12,Low
P00009734,25,10,0,23,19,1,13,Low
P00009735,14,31,0,16,83,6,25,Low
P00009736,34,77,0,16,67,42,39,Medium
P00009737,16,51,0,15,29,2,18,Low
P00009738,34,21,0,21,32,5,18,Low
P00009739,7,34,0,18,35,2,16,Low
P00009740,28,18,0,33,28,4,18,Low
P00009741,10,20,0,18,32,0,13,Low
P00009742,31,9,0,6,16,2,10,Low
P00009743,26,15,0,28,6,7,13,Low
P00009744,33,10,70,27,17,7,27,Low
P00009745,24,71,0,6,28,0,21,Low
P00009746,18,29,0,31,12,4,15,Low
P00009747,21,5,0,21,5,0,8,Low
P00009748,26,19,0,21,30,6,17,Low
P00009749,9,7,0,24,55,7,17,Low
P00009750,10,14,0,24,29,1,13,Low
P00009751,28,5,0,32,7,0,12,Low
P00009752,11,31,0,5,9,1,9,Low
P00009753,25,7,0,22,30,1,14,Low
P00009754,25,24,70,5,5,4,22,Low
P00009755,13,20,0,28,17,0,13,Low
P00009756,15,16,0,30,57,0,19,Low
P00009757,9,21,70,18,27,3,24,Low
P00009758,27,25,0,32,57,0,23,Low
P00009759,10,27,0,14,35,3,14,Low
P00009760,31,15,30,21,27,1,20,Low
P00009761,23,34,0,10,7,1,12,Low
P00009762,10,13,0,7,23,3,9,Low
P00009763,31,7,0,7,19,7,11,Low
P00009764,32,26,0,6,17,5,14,Low
P00009765,9,11,0,33,27,3,13,Low
P00009766,15,33,0,13,27,2,15,Low
P00009767,29,22,0,33,20,6,18,Low
P00009768,12,21,0,29,25,6,15,Low
P00009769,21,6,0,31,8,39,17,Low
P00009770,13,22,0,22,30,2,14,Low
P00009771,33,32,0,34,19,45,27,Low
P00009772,10,60,0,8,26,0,17,Low
P00009773,14,14,0,18,20,37,17,Low
P00009774,17,27,0,20,67,0,21,Low
P00009775,23,7,0,33,5,2,11,Low
P00009776,31,15,0,30,33,0,18,Low
P00009777,5,26,0,32,10,2,12,Low
P00009778,10,12,0,6,15,4,7,Low
P00009779,36,13,0,33,9,42,22,Low
P00009780,18,19,0,10,11,6,10,Low
P00009781,59,18,0,6,47,51,30,Low
P00009782,6,19,0,14,5,0,7,Low
P00009783,33,15,0,15,21,3,14,Low
P00009784,79,8,0,14,69,47,36,Medium
P00009785,6,30,0,22,16,1,12,Low
P00009786,13,67,0,17,29,5,21,Low
P00009787,24,30,0,11,11,6,13,Low
P00009788,18,25,0,18,35,1,16,Low
P00009789,34,14,0,28,26,3,17,Low
P00009790,8,11,0,14,24,2,9,Low
P00009791,45,51,0,17,15,44,28,Low
P00009792,10,30,0,15,16,4,12,Low
P00009793,23,7,0,18,9,5,10,Low
P00009794,20,10,0,25,35,5,15,Low
P00009795,15,16,0,33,35,1,16,Low
P00009796,24,7,0,12,70,1,19,Low
P00009797,29,19,0,12,26,3,14,Low
P00009798,22,26,0,8,16,5,12,Low
P00009799,7,6,70,20,24,3,21,Low
P00009800,5,34,0,21,32,1,15,Low
P00009801,6,5,0,15,35,3,10,Low
P00009802,10,7,0,31,5,5,9,Low
P00009803,8,21,0,34,5,4,12,Low
P00009804,10,5,0,19,12,3,8,Low
P00009805,13,35,0,8,89,2,24,Low
P00009806,12,35,0,12,13,1,12,Low
P00009807,19,9,0,25,22,6,13,Low
P00009808,5,14,0,18,19,6,10,Low
P00009809,21,13,0,6,59,3,17,Low
P00009810,28,6,0,8,22,2,11,Low
P00009811,25,15,0,35,34,3,18,Low
P00009812,29,30,0,20,33,0,18,Low
P00009813,69,10,0,9,27,49,27,Low
P00009814,17,57,30,22,18,3,24,Low
P00009815,32,7,70,8,5,3,20,Low
P00009816,11,11,70,15,24,2,22,Low
P00009817,7,68,0,6,35,7,20,Low
P00009818,19,33,0,25,32,2,18,Low
P00009819,26,33,0,16,29,5,18,Low
P00009820,9,82,70,17,30,6,35,Medium
P00009821,61,12,0,5,27,51,26,Low
P00009822,9,22,0,11,32,0,12,Low
P00009823,8,9,30,31,28,1,17,Low
P00009824,5,7,0,7,8,3,5,Low
P00009825,21,18,0,24,8,4,12,Low
P00009826,15,25,0,24,21,3,14,Low
P00009827,12,32,0,33,9,2,14,Low
P00009828,34,19,0,15,33,1,17,Low
P00009829,11,92,0,5,12,5,20,Low
P00009830,29,8,0,8,28,3,12,Low
P00009831,10,51,0,33,25,3,20,Low
P00009832,28,6,0,18,34,2,14,Low
P00009833,14,24,0,7,6,0,8,Low
P00009834,29,76,0,14,80,31,38,Medium
P00009835,23,16,0,13,27,0,13,Low
P00009836,27,17,0,20,21,1,14,Low
P00009837,13,9,70,10,9,1,18,Low
P00009838,23,13,0,14,7,2,9,Low
P00009839,18,33,70,15,64,3,33,Low
