UC_ID,Project_ID,UC_Submission_Date,Claimed_Utilized_Amount,Actual_Utilized_Amount,Completion_Percentage,UC_Status
UC00029111,P00029111,2026-01-06,4848252,4828348,80,Verified
UC00029112,P00029112,2026-01-08,8580000,8573093,81,Verified
UC00029113,P00029113,2025-07-24,5451013,5285269,88,Verified
UC00029114,P00029114,2025-07-16,4995185,4697651,89,Under Review
UC00029115,P00029115,2026-01-14,5130516,4776449,90,Verified
UC00029116,P00029116,2026-02-25,5320000,5260571,88,Verified
UC00029117,P00029117,2025-07-29,7637384,7115305,86,Verified
UC00029118,P00029118,2026-02-28,2903893,2742759,85,Verified
UC00029119,P00029119,2025-09-27,1380607,1304841,89,Verified
UC00029120,P00029120,2025-10-29,867860,846261,94,Verified
UC00029121,P00029121,2026-05-17,987221,921164,89,Verified
UC00029122,P00029122,2025-12-23,5745181,5532631,96,Verified
UC00029123,P00029123,2026-03-11,1532716,1497798,82,Verified
UC00029124,P00029124,2026-03-26,3692125,1816583,54,Suspicious
UC00029125,P00029125,2026-03-21,6462857,6153739,99,Verified
UC00029126,P00029126,2025-09-15,5885002,5666959,85,Under Review
UC00029127,P00029127,2025-10-05,5690000,5669351,97,Verified
UC00029128,P00029128,2025-04-24,6380000,6010627,99,Verified
UC00029129,P00029129,2025-07-01,9403272,8764899,82,Verified
UC00029130,P00029130,2026-01-01,794901,772856,98,Verified
UC00029131,P00029131,2025-05-16,6551520,6330576,82,Verified
UC00029132,P00029132,2025-10-01,6520768,6329890,89,Under Review
UC00029133,P00029133,2026-03-20,4180845,2422297,48,Suspicious
UC00029134,P00029134,2025-11-03,9310000,8895573,81,Verified
UC00029135,P00029135,2025-12-06,3650051,3381816,81,Verified
UC00029136,P00029136,2025-05-20,5943801,5521155,87,Under Review
UC00029137,P00029137,2026-04-06,4095392,3853298,82,Under Review
UC00029138,P00029138,2025-06-14,7549288,7233044,80,Verified
UC00029139,P00029139,2025-12-22,1877487,1763484,88,Verified
UC00029140,P00029140,2026-04-09,6283971,6049161,91,Verified
UC00029141,P00029141,2026-05-29,8390000,8015312,97,Verified
UC00029142,P00029142,2025-09-12,7631810,7381458,94,Verified
UC00029143,P00029143,2025-10-24,4419694,4234775,92,Verified
UC00029144,P00029144,2025-07-31,8885635,8310235,92,Verified
UC00029145,P00029145,2025-08-30,7803599,7369140,83,Verified
UC00029146,P00029146,2025-10-28,6938622,6548091,91,Verified
UC00029147,P00029147,2025-09-24,6761459,6731469,96,Verified
UC00029148,P00029148,2025-12-08,1496053,1442671,82,Verified
UC00029149,P00029149,2026-02-21,4129365,3892378,91,Verified
UC00029150,P00029150,2026-03-04,7399129,7111629,94,Verified
UC00029151,P00029151,2025-11-25,6200496,6090374,100,Verified
UC00029152,P00029152,2025-12-30,3724111,3458866,99,Verified
UC00029153,P00029153,2026-01-26,7323399,7260307,100,Verified
UC00029154,P00029154,2025-11-11,4530371,4309546,89,Verified
UC00029155,P00029155,2026-01-23,5300386,5160215,99,Verified
UC00029156,P00029156,2025-10-19,4178512,4003478,85,Verified
UC00029157,P00029157,2025-10-18,2521163,2339838,90,Verified
UC00029158,P00029158,2025-12-09,1690000,1621504,96,Verified
UC00029159,P00029159,2026-04-16,3740000,3663159,98,Verified
UC00029160,P00029160,2026-01-19,1132127,1048368,91,Verified
UC00029161,P00029161,2025-10-27,5883437,5599434,95,Verified
UC00029162,P00029162,2025-07-21,3721417,3451252,83,Verified
UC00029163,P00029163,2025-11-14,8270861,7874694,86,Verified
UC00029164,P00029164,2025-10-14,6371712,6226685,96,Verified
UC00029165,P00029165,2026-01-12,6093666,5654783,82,Verified
UC00029166,P00029166,2025-11-16,2003803,1949540,94,Verified
UC00029167,P00029167,2025-10-01,2709682,2676890,88,Verified
UC00029168,P00029168,2026-03-03,8296418,8130188,93,Verified
UC00029169,P00029169,2025-10-06,7219757,6926165,82,Under Review
UC00029170,P00029170,2025-10-16,6554585,6517361,80,Verified
UC00029171,P00029171,2025-12-20,5817941,5766478,90,Verified
UC00029172,P00029172,2025-09-11,2330020,2232788,96,Verified
UC00029173,P00029173,2025-12-07,7481527,7342122,93,Verified
UC00029174,P00029174,2025-10-26,2370000,2328838,83,Verified
UC00029175,P00029175,2026-04-07,8946257,8558693,84,Under Review
UC00029176,P00029176,2026-01-07,501047,485989,100,Verified
UC00029177,P00029177,2026-03-10,3742347,3565513,88,Verified
UC00029178,P00029178,2025-06-07,8329413,4493745,61,Suspicious
UC00029179,P00029179,2026-02-08,825231,770537,85,Verified
UC00029180,P00029180,2026-03-03,4179649,3989642,93,Verified
UC00029181,P00029181,2025-10-21,1083224,1071873,99,Verified
UC00029182,P00029182,2026-03-28,4906973,4753939,81,Verified
UC00029183,P00029183,2025-09-22,3982392,3860826,98,Verified
UC00029184,P00029184,2025-08-01,4627426,4440044,87,Verified
UC00029185,P00029185,2025-08-30,5204464,5050666,89,Under Review
UC00029186,P00029186,2026-04-22,6612742,6485766,98,Verified
UC00029187,P00029187,2026-01-22,1535586,1504271,84,Under Review
UC00029188,P00029188,2026-01-08,4775617,4636487,98,Verified
UC00029189,P00029189,2025-07-07,5112852,4940620,84,Under Review
UC00029190,P00029190,2026-05-08,1494387,660063,43,Under Review
UC00029191,P00029191,2025-11-20,4303555,4263958,98,Verified
UC00029192,P00029192,2025-06-20,2724874,2544849,90,Verified
UC00029193,P00029193,2025-12-07,2920000,2889348,93,Verified
UC00029194,P00029194,2026-03-18,841053,613981,63,Suspicious
UC00029195,P00029195,2025-10-28,4204818,4089037,90,Verified
UC00029196,P00029196,2025-10-01,1127834,1068695,94,Under Review
UC00029197,P00029197,2025-11-16,3576977,3504750,85,Verified
UC00029198,P00029198,2026-03-14,5281168,5100206,87,Verified
UC00029199,P00029199,2025-07-10,4430000,4394037,93,Verified
UC00029200,P00029200,2025-09-15,4556354,4407275,97,Under Review
UC00029201,P00029201,2026-03-26,5847278,5648880,88,Verified
UC00029202,P00029202,2025-10-26,8333964,7913583,96,Under Review
UC00029203,P00029203,2025-08-16,7730000,7535623,91,Under Review
UC00029204,P00029204,2025-12-02,7801439,7411929,81,Under Review
UC00029205,P00029205,2025-06-12,1512914,899386,67,Suspicious
UC00029206,P00029206,2025-12-23,7578881,7190428,90,Verified
UC00029207,P00029207,2025-11-13,5626817,5516073,84,Verified
UC00029208,P00029208,2025-11-02,8492731,7949949,96,Verified
UC00029209,P00029209,2025-11-07,9837984,9385698,89,Verified
UC00029210,P00029210,2025-10-28,8110000,7708472,84,Verified
UC00029211,P00029211,2025-10-10,3836091,3631039,93,Under Review
UC00029212,P00029212,2026-01-23,1422525,1359245,92,Verified
UC00029213,P00029213,2026-01-06,8378589,8120220,92,Verified
UC00029214,P00029214,2025-09-09,6314473,6062122,84,Verified
UC00029215,P00029215,2025-05-17,3550387,3306688,97,Verified
UC00029216,P00029216,2025-11-26,4370077,4057762,81,Verified
UC00029217,P00029217,2025-12-07,1456740,1407622,85,Verified
UC00029218,P00029218,2025-10-15,7713294,7510037,92,Verified
UC00029219,P00029219,2025-05-30,5129360,5030990,97,Verified
UC00029220,P00029220,2025-12-09,1135724,1054539,95,Under Review
UC00029221,P00029221,2025-10-27,5796522,5601005,89,Verified
UC00029222,P00029222,2025-12-21,8640000,8493052,87,Verified
UC00029223,P00029223,2025-10-08,7625544,7167458,94,Verified
UC00029224,P00029224,2025-12-01,8990000,8802174,82,Under Review
UC00029225,P00029225,2025-12-24,7383590,7320230,82,Verified
UC00029226,P00029226,2025-11-29,7830854,7713372,100,Under Review
UC00029227,P00029227,2025-11-19,8521534,8203717,95,Under Review
UC00029228,P00029228,2026-02-06,6791299,6737750,94,Verified
UC00029229,P00029229,2026-03-19,5536723,5506388,97,Verified
UC00029230,P00029230,2025-10-07,9312645,8837085,83,Verified
UC00029231,P00029231,2026-02-11,5852054,3796847,53,Suspicious
UC00029232,P00029232,2025-08-29,7827046,7445076,90,Under Review
UC00029233,P00029233,2025-07-21,5412945,5348762,92,Verified
UC00029234,P00029234,2025-10-14,3828278,3646797,100,Verified
UC00029235,P00029235,2025-12-21,547880,524487,99,Verified
UC00029236,P00029236,2025-10-27,5968640,5733291,99,Verified
UC00029237,P00029237,2025-07-04,9129894,8562232,96,Verified
UC00029238,P00029238,2025-12-15,6367922,6041295,97,Under Review
UC00029239,P00029239,2026-04-20,5442150,5259374,86,Verified
UC00029240,P00029240,2025-08-29,6171602,3417173,55,Suspicious
UC00029241,P00029241,2025-12-22,4853202,4789577,96,Verified
UC00029242,P00029242,2025-07-25,1380007,1319525,100,Under Review
UC00029243,P00029243,2025-06-01,4449177,4368690,94,Verified
UC00029244,P00029244,2026-01-16,5724677,3723524,53,Under Review
UC00029245,P00029245,2025-08-11,8298663,8280700,87,Under Review
UC00029246,P00029246,2025-11-29,1289357,1283659,83,Verified
UC00029247,P00029247,2025-10-09,1140000,1117326,86,Verified
UC00029248,P00029248,2026-03-10,2794121,2593765,84,Verified
UC00029249,P00029249,2025-05-31,4339030,4157720,95,Verified
UC00029250,P00029250,2025-10-16,7951585,7521754,89,Verified
UC00029251,P00029251,2025-09-21,4861590,4625299,100,Verified
UC00029252,P00029252,2026-03-19,880317,851416,100,Verified
UC00029253,P00029253,2026-03-31,3440598,1678119,62,Suspicious
UC00029254,P00029254,2026-01-10,3712526,3526409,88,Verified
UC00029255,P00029255,2026-04-03,6808997,6416138,82,Verified
UC00029256,P00029256,2026-05-22,507332,357151,61,Under Review
UC00029257,P00029257,2025-10-09,2418654,2388058,91,Verified
UC00029258,P00029258,2026-06-12,8335685,7905748,97,Verified
UC00029259,P00029259,2026-03-12,5740000,5663537,92,Verified
UC00029260,P00029260,2025-08-29,8885286,8637916,100,Verified
UC00029261,P00029261,2026-05-15,8626916,5708624,68,Suspicious
UC00029262,P00029262,2025-12-10,2805306,2732480,87,Verified
UC00029263,P00029263,2025-11-27,6350000,6236415,82,Verified
UC00029264,P00029264,2025-10-17,4470000,4379687,88,Under Review
UC00029265,P00029265,2025-08-05,8121580,7744908,82,Under Review
UC00029266,P00029266,2025-09-16,3028978,2131103,68,Suspicious
UC00029267,P00029267,2025-09-06,3366126,3221600,87,Verified
UC00029268,P00029268,2026-01-10,907985,889750,80,Verified
UC00029269,P00029269,2026-02-21,4100463,3912079,100,Verified
UC00029270,P00029270,2025-11-19,4814895,4641877,91,Under Review
UC00029271,P00029271,2025-09-17,817135,782005,81,Verified
UC00029272,P00029272,2025-11-24,9570000,9407313,90,Verified
UC00029273,P00029273,2026-01-07,5294711,4979363,89,Verified
UC00029274,P00029274,2025-09-16,5554404,5428665,96,Under Review
UC00029275,P00029275,2026-02-06,1977038,1876610,90,Under Review
UC00029276,P00029276,2026-01-11,7982466,7441008,96,Verified
UC00029277,P00029277,2025-09-07,8989847,8710484,85,Under Review
UC00029278,P00029278,2025-05-15,3321788,2333601,75,Suspicious
UC00029279,P00029279,2025-12-27,2246015,2169549,80,Verified
UC00029280,P00029280,2025-09-04,963146,958479,88,Under Review
UC00029281,P00029281,2025-09-21,2580000,2464494,85,Under Review
UC00029282,P00029282,2025-07-27,7540000,7304681,94,Verified
UC00029283,P00029283,2025-12-05,4764964,2188991,57,Under Review
UC00029284,P00029284,2025-12-12,2446923,1142559,53,Suspicious
UC00029285,P00029285,2026-01-07,4723053,4415501,95,Verified
UC00029286,P00029286,2025-06-19,627664,598235,93,Verified
UC00029287,P00029287,2025-11-13,5091140,4918128,92,Under Review
UC00029288,P00029288,2025-12-18,1872410,1055876,44,Under Review
UC00029289,P00029289,2026-05-01,527603,515548,96,Verified
UC00029290,P00029290,2025-12-22,1098814,1020106,82,Under Review
UC00029291,P00029291,2026-02-01,1420941,1404193,92,Under Review
UC00029292,P00029292,2025-08-16,5075951,5027035,93,Verified
UC00029293,P00029293,2025-11-10,8078706,7496026,89,Verified
UC00029294,P00029294,2025-06-17,4816960,4661899,88,Under Review
UC00029295,P00029295,2025-10-17,6880000,6630887,88,Verified
UC00029296,P00029296,2025-10-31,5420000,5315142,100,Under Review
UC00029297,P00029297,2025-06-04,6160292,6140431,96,Verified
UC00029298,P00029298,2025-08-27,2691464,2593730,82,Verified
UC00029299,P00029299,2025-09-04,1706529,1649808,88,Verified
UC00029300,P00029300,2026-03-24,1314469,1261585,80,Under Review
UC00029301,P00029301,2026-04-14,2580000,2504500,98,Under Review
UC00029302,P00029302,2025-11-22,4768774,4445257,100,Under Review
UC00029303,P00029303,2025-07-15,7314438,7194583,83,Verified
UC00029304,P00029304,2025-11-11,7885845,7421566,88,Under Review
UC00029305,P00029305,2025-12-14,7718530,7651280,87,Under Review
UC00029306,P00029306,2026-01-02,979973,474162,64,Suspicious
UC00029307,P00029307,2025-12-12,6250574,6146977,84,Verified
UC00029308,P00029308,2025-10-09,3677478,3548160,92,Verified
UC00029309,P00029309,2026-01-09,634742,592629,99,Verified
UC00029310,P00029310,2025-10-15,8938077,8459413,82,Under Review
UC00029311,P00029311,2025-11-08,4527169,2081759,44,Under Review
UC00029312,P00029312,2025-12-27,3558914,3443879,84,Verified
UC00029313,P00029313,2026-04-21,6993775,6781710,89,Verified
UC00029314,P00029314,2026-01-29,1648990,1553586,98,Verified
UC00029315,P00029315,2026-02-11,618549,615629,89,Verified
UC00029316,P00029316,2026-04-07,2040000,1960455,86,Under Review
UC00029317,P00029317,2026-03-23,990000,952833,81,Under Review
UC00029318,P00029318,2025-09-25,7730000,7690157,90,Verified
UC00029319,P00029319,2025-11-18,2656810,2480034,82,Verified
UC00029320,P00029320,2025-05-21,5660000,5604992,89,Under Review
UC00029321,P00029321,2025-07-17,6599162,4022396,70,Suspicious
UC00029322,P00029322,2025-07-10,5828330,5741802,89,Verified
UC00029323,P00029323,2026-05-14,2822403,2793909,88,Verified
UC00029324,P00029324,2025-09-22,5627133,3175022,53,Under Review
UC00029325,P00029325,2026-01-10,1456436,1360014,95,Verified
UC00029326,P00029326,2025-10-26,3856187,3716184,85,Verified
UC00029327,P00029327,2025-11-10,7332720,7111794,83,Verified
UC00029328,P00029328,2026-01-28,7060000,6931922,87,Verified
UC00029329,P00029329,2026-01-18,2047093,2005517,83,Verified
UC00029330,P00029330,2025-11-04,7609646,7420672,90,Verified
UC00029331,P00029331,2025-08-30,6032335,5764765,95,Verified
UC00029332,P00029332,2025-11-13,3070688,3045359,83,Under Review
UC00029333,P00029333,2026-01-19,2534390,1168541,70,Suspicious
UC00029334,P00029334,2025-08-17,1195969,1146871,90,Verified
UC00029335,P00029335,2025-12-17,9150000,9098614,82,Under Review
UC00029336,P00029336,2026-01-01,6976216,6467788,83,Under Review
UC00029337,P00029337,2025-12-07,6399362,6347218,96,Verified
UC00029338,P00029338,2026-04-16,1333307,1317386,100,Under Review
UC00029339,P00029339,2025-07-12,3850000,3706468,98,Verified
UC00029340,P00029340,2025-12-15,5200363,4991956,95,Verified
UC00029341,P00029341,2025-08-01,5420986,5216757,100,Verified
UC00029342,P00029342,2025-06-30,8631284,7992194,90,Verified
UC00029343,P00029343,2026-01-14,7597573,7269171,89,Verified
UC00029344,P00029344,2025-10-15,5292971,5090990,88,Verified
UC00029345,P00029345,2026-02-11,3187495,3047892,80,Verified
UC00029346,P00029346,2025-07-20,5852726,4386812,65,Under Review
UC00029347,P00029347,2025-07-01,6696994,6686460,80,Verified
UC00029348,P00029348,2025-09-17,3169479,2978843,90,Verified
UC00029349,P00029349,2025-12-28,3162034,3091239,96,Verified
UC00029350,P00029350,2025-07-10,5813894,4715409,50,Suspicious
UC00029351,P00029351,2025-10-09,9476596,8941901,87,Under Review
UC00029352,P00029352,2025-07-23,3339258,3127506,82,Verified
UC00029353,P00029353,2025-09-02,1337370,1252391,86,Verified
UC00029354,P00029354,2025-06-28,1253520,1206280,94,Under Review
UC00029355,P00029355,2025-11-15,1315924,581343,54,Suspicious
UC00029356,P00029356,2026-01-11,6115618,5711205,87,Under Review
UC00029357,P00029357,2026-02-21,7118277,6951239,87,Verified
UC00029358,P00029358,2025-08-25,7210000,7035964,88,Verified
UC00029359,P00029359,2025-06-14,3562868,3383391,94,Verified
UC00029360,P00029360,2025-09-18,1322276,1246898,84,Under Review
UC00029361,P00029361,2026-06-07,9800000,9372652,87,Under Review
UC00029362,P00029362,2026-03-12,7759819,7531826,80,Verified
UC00029363,P00029363,2025-10-11,5042136,4907294,83,Verified
UC00029364,P00029364,2025-08-07,9209675,8797564,80,Verified
UC00029365,P00029365,2025-11-23,872084,415599,52,Under Review
UC00029366,P00029366,2025-09-30,6077194,6067712,88,Verified
UC00029367,P00029367,2025-10-13,8526399,8215215,93,Verified
UC00029368,P00029368,2025-07-09,7408499,6879408,94,Verified
UC00029369,P00029369,2025-12-07,7513026,7443874,100,Verified
UC00029370,P00029370,2025-08-01,8645499,8308690,89,Under Review
UC00029371,P00029371,2026-02-28,3763217,3738760,93,Under Review
UC00029372,P00029372,2025-06-22,1890000,1844880,92,Verified
UC00029373,P00029373,2025-10-27,5568595,5273553,94,Under Review
UC00029374,P00029374,2025-09-23,7815606,7803301,80,Verified
UC00029375,P00029375,2025-10-08,964245,931498,81,Verified
UC00029376,P00029376,2026-06-01,5334894,5251394,85,Verified
UC00029377,P00029377,2026-01-04,1886006,1750262,99,Verified
UC00029378,P00029378,2026-02-22,6743279,6297424,89,Verified
UC00029379,P00029379,2025-08-14,6410612,2961111,43,Under Review
UC00029380,P00029380,2025-10-26,7765749,7386071,98,Verified
UC00029381,P00029381,2025-09-16,7004556,6856498,84,Verified
UC00029382,P00029382,2025-12-24,6150373,5861441,94,Verified
UC00029383,P00029383,2025-07-28,1820000,1739877,90,Verified
UC00029384,P00029384,2025-06-10,1686117,1596585,82,Verified
UC00029385,P00029385,2026-01-21,5305059,5058368,82,Verified
UC00029386,P00029386,2026-03-07,7499860,7297220,89,Verified
UC00029387,P00029387,2025-10-14,4670000,4599165,98,Verified
UC00029388,P00029388,2025-12-24,985540,968361,82,Verified
UC00029389,P00029389,2025-12-20,1614306,738402,47,Under Review
UC00029390,P00029390,2025-11-24,9536525,9380363,80,Verified
UC00029391,P00029391,2025-11-24,5108854,4870923,89,Verified
UC00029392,P00029392,2025-10-14,1565712,1464046,97,Verified
UC00029393,P00029393,2025-08-31,6893201,6613625,99,Verified
UC00029394,P00029394,2025-11-01,1608816,1603933,92,Verified
UC00029395,P00029395,2025-11-23,6955072,6809887,81,Verified
UC00029396,P00029396,2025-10-17,1020000,953290,97,Verified
UC00029397,P00029397,2025-05-07,3595842,3501991,93,Verified
UC00029398,P00029398,2025-12-26,4040000,3907698,98,Verified
UC00029399,P00029399,2025-09-04,2757477,2679093,91,Verified
UC00029400,P00029400,2025-08-25,9370967,8898640,80,Verified
UC00029401,P00029401,2026-02-13,2330610,2283585,81,Verified
UC00029402,P00029402,2025-05-24,6239154,4770544,49,Suspicious
UC00029403,P00029403,2025-09-10,1811522,1784006,80,Verified
UC00029404,P00029404,2025-12-26,6692016,6373261,81,Verified
UC00029405,P00029405,2026-02-04,8190522,7603815,81,Verified
UC00029406,P00029406,2025-09-12,6783612,6618879,91,Under Review
UC00029407,P00029407,2025-11-22,2304055,2191375,97,Under Review
UC00029408,P00029408,2025-11-29,3060000,2922687,89,Under Review
UC00029409,P00029409,2026-03-05,2700000,2686758,93,Verified
UC00029410,P00029410,2025-11-05,7010000,6500577,100,Under Review
UC00029411,P00029411,2025-10-29,6609216,6173984,84,Under Review
UC00029412,P00029412,2025-09-25,7530000,7429315,87,Verified
UC00029413,P00029413,2025-06-19,7275446,6777682,86,Verified
UC00029414,P00029414,2026-01-14,1091191,1078721,84,Verified
UC00029415,P00029415,2025-06-08,1228483,1176837,89,Verified
UC00029416,P00029416,2025-11-07,6266976,6166136,91,Verified
UC00029417,P00029417,2026-02-07,5466068,5131229,89,Verified
UC00029418,P00029418,2026-02-06,3399962,3219653,99,Under Review
UC00029419,P00029419,2025-09-02,4803889,4702879,93,Verified
UC00029420,P00029420,2025-09-11,1640058,1552067,92,Under Review
UC00029421,P00029421,2025-09-08,7244467,6945766,87,Verified
UC00029422,P00029422,2025-09-07,2051561,2012693,94,Verified
UC00029423,P00029423,2025-08-14,2321959,2186776,90,Verified
UC00029424,P00029424,2026-01-21,7178368,6666559,86,Verified
UC00029425,P00029425,2025-05-14,7323876,7015553,86,Verified
UC00029426,P00029426,2025-09-15,8854203,8565107,88,Verified
UC00029427,P00029427,2025-12-06,6059943,2852886,62,Suspicious
UC00029428,P00029428,2026-02-16,2983070,1676091,52,Under Review
UC00029429,P00029429,2025-06-22,2450000,2440971,91,Verified
UC00029430,P00029430,2025-12-20,6737609,6519093,87,Verified
UC00029431,P00029431,2026-02-20,6269283,6051139,85,Verified
UC00029432,P00029432,2025-12-10,8014281,7505289,100,Verified
UC00029433,P00029433,2025-10-30,6935493,6837342,86,Under Review
UC00029434,P00029434,2026-03-11,4605806,4580071,97,Verified
UC00029435,P00029435,2025-11-16,4620000,4490048,99,Verified
UC00029436,P00029436,2026-02-20,3510000,3360053,99,Verified
UC00029437,P00029437,2026-02-04,935744,917501,97,Under Review
UC00029438,P00029438,2026-01-13,4665011,4561408,91,Verified
UC00029439,P00029439,2025-11-24,6531637,6257660,80,Under Review
UC00029440,P00029440,2025-05-16,7034272,6994433,90,Verified
UC00029441,P00029441,2026-05-16,7315747,7262826,97,Verified
UC00029442,P00029442,2025-11-03,5810107,5600340,80,Verified
UC00029443,P00029443,2026-01-26,4936247,4821388,88,Verified
UC00029444,P00029444,2025-08-30,6190000,5829954,93,Verified
UC00029445,P00029445,2026-03-06,5873007,2552037,75,Under Review
UC00029446,P00029446,2025-09-18,7909447,7695000,83,Under Review
UC00029447,P00029447,2026-02-12,6700837,6536330,89,Verified
UC00029448,P00029448,2026-01-25,3720000,3633551,83,Verified
UC00029449,P00029449,2025-12-13,2703489,1859911,69,Suspicious
UC00029450,P00029450,2025-11-26,1300000,1261910,93,Under Review
UC00029451,P00029451,2025-09-15,2161647,2052222,82,Verified
UC00029452,P00029452,2025-12-24,8123652,7923123,84,Verified
UC00029453,P00029453,2025-08-02,1146738,1082127,82,Verified
UC00029454,P00029454,2025-06-02,5612350,5378885,88,Verified
UC00029455,P00029455,2025-04-12,8030000,7921508,84,Verified
UC00029456,P00029456,2025-12-21,8427602,8065916,93,Verified
UC00029457,P00029457,2026-02-23,6828613,6613046,94,Verified
UC00029458,P00029458,2026-04-05,3490000,3430782,85,Verified
UC00029459,P00029459,2026-01-13,6170652,5816811,96,Verified
UC00029460,P00029460,2025-12-17,7376187,7085709,95,Verified
UC00029461,P00029461,2025-12-31,5454880,5083425,99,Verified
UC00029462,P00029462,2025-05-28,3414544,3222894,81,Verified
UC00029463,P00029463,2026-04-16,1589564,1499707,92,Verified
UC00029464,P00029464,2025-07-09,7424267,3955944,69,Under Review
UC00029465,P00029465,2026-04-14,4205534,4063608,95,Verified
UC00029466,P00029466,2025-09-03,6000098,2937692,70,Suspicious
UC00029467,P00029467,2025-09-02,504544,497023,90,Under Review
UC00029468,P00029468,2026-01-01,9279729,8992123,100,Verified
UC00029469,P00029469,2025-09-17,1685766,787035,63,Suspicious
UC00029470,P00029470,2026-02-11,8970000,8811274,83,Verified
UC00029471,P00029471,2025-05-16,4720000,4567017,84,Verified
UC00029472,P00029472,2026-03-11,7069872,6594058,89,Verified
UC00029473,P00029473,2026-01-14,7640662,7225223,89,Verified
UC00029474,P00029474,2025-10-30,3523635,3493115,99,Verified
UC00029475,P00029475,2025-09-16,4755979,4441954,80,Verified
UC00029476,P00029476,2026-04-24,1883547,1848688,100,Verified
UC00029477,P00029477,2025-11-06,533177,345767,43,Under Review
UC00029478,P00029478,2026-03-28,1380000,1355369,83,Verified
UC00029479,P00029479,2026-03-15,7729851,7654834,80,Verified
UC00029480,P00029480,2025-10-31,6584718,6497370,81,Verified
UC00029481,P00029481,2025-12-12,7388312,6849129,93,Verified
UC00029482,P00029482,2026-03-04,7396716,7182801,87,Verified
UC00029483,P00029483,2025-11-30,5293131,5078161,94,Verified
UC00029484,P00029484,2025-12-29,1680252,1660810,100,Verified
UC00029485,P00029485,2026-02-27,6506568,6213936,85,Verified
UC00029486,P00029486,2025-12-05,4417009,4124931,97,Verified
UC00029487,P00029487,2025-12-06,1770859,1714409,92,Verified
UC00029488,P00029488,2026-02-09,3884714,2227307,57,Under Review
UC00029489,P00029489,2026-01-08,9508878,4831538,48,Under Review
UC00029490,P00029490,2025-10-25,4050462,4006585,91,Verified
UC00029491,P00029491,2025-12-09,3540000,3413272,91,Verified
UC00029492,P00029492,2025-10-30,4978198,4934965,98,Verified
UC00029493,P00029493,2026-01-09,1231269,1181159,87,Under Review
UC00029494,P00029494,2025-11-21,5730000,5499939,90,Verified
UC00029495,P00029495,2025-09-21,471787,457815,80,Under Review
UC00029496,P00029496,2025-08-31,5427665,5356457,84,Verified
UC00029497,P00029497,2025-10-10,3334905,3314304,80,Verified
UC00029498,P00029498,2025-10-15,6147836,6053524,84,Under Review
UC00029499,P00029499,2025-07-05,9011179,8827656,95,Under Review
UC00029500,P00029500,2026-01-16,4608261,2446364,67,Under Review
UC00029501,P00029501,2025-07-27,5801160,5688822,100,Verified
UC00029502,P00029502,2025-09-28,1989361,1899962,81,Verified
UC00029503,P00029503,2026-04-01,5502501,5342224,99,Verified
UC00029504,P00029504,2025-08-19,4128287,4122042,99,Under Review
UC00029505,P00029505,2025-06-23,1415877,1406084,90,Verified
UC00029506,P00029506,2026-03-08,1612200,1541025,85,Verified
UC00029507,P00029507,2026-01-25,3590000,3523201,88,Verified
UC00029508,P00029508,2026-03-19,5485867,5271144,85,Verified
UC00029509,P00029509,2025-12-14,5835442,5465897,94,Verified
UC00029510,P00029510,2025-11-22,8149506,7826927,90,Under Review
UC00029511,P00029511,2025-11-21,4898971,4836404,92,Verified
UC00029512,P00029512,2025-10-15,2914698,2908510,83,Verified
UC00029513,P00029513,2026-01-14,6849660,4465322,51,Suspicious
UC00029514,P00029514,2025-10-21,4703615,4652631,100,Under Review
UC00029515,P00029515,2025-10-29,3393616,3355647,86,Verified
UC00029516,P00029516,2026-02-06,9049309,8602846,92,Verified
UC00029517,P00029517,2025-10-21,9110000,9044422,80,Verified
UC00029518,P00029518,2025-08-29,6547620,6386645,84,Verified
UC00029519,P00029519,2026-01-10,2512818,2468935,83,Verified
UC00029520,P00029520,2026-04-17,5360871,3402846,62,Suspicious
UC00029521,P00029521,2025-12-15,9183530,9058619,90,Verified
UC00029522,P00029522,2025-12-16,4688146,4558703,85,Verified
UC00029523,P00029523,2025-11-11,3687149,3446638,94,Verified
UC00029524,P00029524,2025-08-14,2038835,1934675,81,Under Review
UC00029525,P00029525,2025-12-10,1495909,1462397,95,Verified
UC00029526,P00029526,2025-10-13,6878411,6725643,86,Verified
UC00029527,P00029527,2025-12-27,6703955,6424699,93,Verified
UC00029528,P00029528,2025-06-18,6798136,6437077,81,Verified
UC00029529,P00029529,2025-11-15,1786084,1684913,80,Verified
UC00029530,P00029530,2026-01-13,5529042,5421778,97,Verified
UC00029531,P00029531,2025-11-18,8216363,7979538,81,Verified
UC00029532,P00029532,2025-12-22,590000,568059,98,Verified
UC00029533,P00029533,2026-02-06,3188056,3168207,92,Under Review
UC00029534,P00029534,2025-10-14,8058569,7473185,88,Verified
UC00029535,P00029535,2025-11-06,2822720,2705981,89,Verified
UC00029536,P00029536,2025-07-07,8032724,7528176,97,Under Review
UC00029537,P00029537,2025-11-17,6764614,3524446,70,Under Review
UC00029538,P00029538,2025-12-11,1508572,1478629,90,Verified
UC00029539,P00029539,2026-01-05,4783049,4633949,85,Verified
UC00029540,P00029540,2026-03-26,3247908,3148163,84,Under Review
UC00029541,P00029541,2025-07-07,578112,551570,83,Verified
UC00029542,P00029542,2025-08-11,2320000,2303797,90,Verified
